country,year,life_exp,ppp_cap,name,brk_a3
Spain,2009,81.8,37500,Spain,ESP
Spain,2010,82.1,37400,Spain,ESP
Spain,2011,82.3,37000,Spain,ESP
Spain,2012,82.4,35900,Spain,ESP
Spain,2013,82.7,35500,Spain,ESP
Spain,2014,82.8,36100,Spain,ESP
Spain,2015,82.8,37500,Spain,ESP
Spain,2016,83,38600,Spain,ESP
Spain,2017,83,39700,Spain,ESP
Spain,2018,83.1,40400,Spain,ESP
Spain,2019,83.1,41000,Spain,ESP
Spain,2020,81.5,36500,Spain,ESP
Spain,2021,83.3,38800,Spain,ESP
France,1949,65.6,9070,France,FRA
France,1950,67.1,9510,France,FRA
France,1951,66.7,10000,France,FRA
France,1952,68.1,10200,France,FRA
France,1953,68.5,10400,France,FRA
France,1954,69,10800,France,FRA
France,1955,69.3,11400,France,FRA
France,1956,69.5,11800,France,FRA
France,1957,69.9,12400,France,FRA
France,1958,70.8,12600,France,FRA
France,1959,71,12800,France,FRA
France,1960,71.2,13600,France,FRA
France,1961,71.3,14200,France,FRA
France,1962,71.2,14800,France,FRA
France,1963,71.2,15400,France,FRA
France,1964,71.7,16300,France,FRA
France,1965,71.8,16900,France,FRA
France,1966,72,17700,France,FRA
France,1967,72.1,18400,France,FRA
France,1968,72.1,19100,France,FRA
France,1969,72.1,20200,France,FRA
France,1970,72.6,21200,France,FRA
France,1971,72.7,22100,France,FRA
France,1972,72.9,22900,France,FRA
France,1973,73.2,24000,France,FRA
France,1974,73.4,24600,France,FRA
France,1975,73.3,24300,France,FRA
France,1976,73.6,25300,France,FRA
France,1977,74,26200,France,FRA
France,1978,74.3,26800,France,FRA
France,1979,74.5,27600,France,FRA
France,1980,74.7,27900,France,FRA
France,1981,74.9,28100,France,FRA
France,1982,75.1,28700,France,FRA
France,1983,75.3,28900,France,FRA
France,1984,75.6,29200,France,FRA
France,1985,75.8,29600,France,FRA
France,1986,76,30200,France,FRA
France,1987,76.5,30800,France,FRA
France,1988,76.8,32100,France,FRA
France,1989,77,33100,France,FRA
France,1990,77.2,33800,France,FRA
France,1991,77.4,34000,France,FRA
France,1992,77.6,34400,France,FRA
France,1993,77.8,34000,France,FRA
France,1994,78,34700,France,FRA
France,1995,78.2,35300,France,FRA
France,1996,78.4,35700,France,FRA
France,1997,78.7,36400,France,FRA
France,1998,78.8,37500,France,FRA
France,1999,78.9,38600,France,FRA
France,2000,79.2,39900,France,FRA
France,2001,79.3,40400,France,FRA
France,2002,79.5,40500,France,FRA
France,2003,79.7,40600,France,FRA
France,2004,80.3,41400,France,FRA
France,2005,80.6,41800,France,FRA
France,2006,80.8,42500,France,FRA
France,2007,81.1,43300,France,FRA
France,2008,81.2,43100,France,FRA
France,2009,81.4,41700,France,FRA
France,2010,81.6,42300,France,FRA
France,2011,81.8,43000,France,FRA
France,2012,82,42900,France,FRA
France,2013,82.3,43000,France,FRA
France,2014,82.6,43200,France,FRA
France,2015,82.5,43500,France,FRA
France,2016,82.8,43800,France,FRA
France,2017,82.9,44800,France,FRA
France,2018,82.9,45500,France,FRA
France,2019,82.9,46100,France,FRA
France,2020,82.2,42200,France,FRA
France,2021,83.1,44600,France,FRA
United Kingdom,1949,68.4,12800,United Kingdom,GBR
United Kingdom,1950,68.9,12700,United Kingdom,GBR
United Kingdom,1951,68.8,13100,United Kingdom,GBR
United Kingdom,1952,69.5,13000,United Kingdom,GBR
United Kingdom,1953,70,13500,United Kingdom,GBR
United Kingdom,1954,70.3,14000,United Kingdom,GBR
United Kingdom,1955,70.5,14400,United Kingdom,GBR
United Kingdom,1956,70.6,14500,United Kingdom,GBR
United Kingdom,1957,70.8,14700,United Kingdom,GBR
United Kingdom,1958,71,14600,United Kingdom,GBR
United Kingdom,1959,71.1,15100,United Kingdom,GBR
United Kingdom,1960,71.2,15800,United Kingdom,GBR
United Kingdom,1961,71.1,16200,United Kingdom,GBR
United Kingdom,1962,71,16300,United Kingdom,GBR
United Kingdom,1963,71.1,16800,United Kingdom,GBR
United Kingdom,1964,71.5,17600,United Kingdom,GBR
United Kingdom,1965,71.7,17900,United Kingdom,GBR
United Kingdom,1966,71.7,18200,United Kingdom,GBR
United Kingdom,1967,72,18500,United Kingdom,GBR
United Kingdom,1968,71.9,19200,United Kingdom,GBR
United Kingdom,1969,71.9,19400,United Kingdom,GBR
United Kingdom,1970,72.1,19900,United Kingdom,GBR
United Kingdom,1971,72.2,20200,United Kingdom,GBR
United Kingdom,1972,72.2,20900,United Kingdom,GBR
United Kingdom,1973,72.3,22200,United Kingdom,GBR
United Kingdom,1974,72.5,21900,United Kingdom,GBR
United Kingdom,1975,72.8,21900,United Kingdom,GBR
United Kingdom,1976,72.9,22400,United Kingdom,GBR
United Kingdom,1977,73.2,22900,United Kingdom,GBR
United Kingdom,1978,73.3,23800,United Kingdom,GBR
United Kingdom,1979,73.4,24400,United Kingdom,GBR
United Kingdom,1980,73.8,24000,United Kingdom,GBR
United Kingdom,1981,74.1,23700,United Kingdom,GBR
United Kingdom,1982,74.2,24100,United Kingdom,GBR
United Kingdom,1983,74.5,24900,United Kingdom,GBR
United Kingdom,1984,74.8,25500,United Kingdom,GBR
United Kingdom,1985,74.8,26400,United Kingdom,GBR
United Kingdom,1986,75,27400,United Kingdom,GBR
United Kingdom,1987,75.3,28700,United Kingdom,GBR
United Kingdom,1988,75.4,30000,United Kingdom,GBR
United Kingdom,1989,75.6,30600,United Kingdom,GBR
United Kingdom,1990,75.8,30700,United Kingdom,GBR
United Kingdom,1991,76.1,30200,United Kingdom,GBR
United Kingdom,1992,76.3,30300,United Kingdom,GBR
United Kingdom,1993,76.4,30900,United Kingdom,GBR
United Kingdom,1994,76.7,32100,United Kingdom,GBR
United Kingdom,1995,76.8,32800,United Kingdom,GBR
United Kingdom,1996,77,33500,United Kingdom,GBR
United Kingdom,1997,77.3,34700,United Kingdom,GBR
United Kingdom,1998,77.5,35900,United Kingdom,GBR
United Kingdom,1999,77.6,37000,United Kingdom,GBR
United Kingdom,2000,78,38100,United Kingdom,GBR
United Kingdom,2001,78.3,39100,United Kingdom,GBR
United Kingdom,2002,78.5,39800,United Kingdom,GBR
United Kingdom,2003,78.6,41000,United Kingdom,GBR
United Kingdom,2004,79,41700,United Kingdom,GBR
United Kingdom,2005,79.3,42700,United Kingdom,GBR
United Kingdom,2006,79.5,43600,United Kingdom,GBR
United Kingdom,2007,79.8,44300,United Kingdom,GBR
United Kingdom,2008,80,43800,United Kingdom,GBR
United Kingdom,2009,80.3,41700,United Kingdom,GBR
United Kingdom,2010,80.6,42100,United Kingdom,GBR
United Kingdom,2011,80.8,42500,United Kingdom,GBR
United Kingdom,2012,80.9,42800,United Kingdom,GBR
United Kingdom,2013,81,43400,United Kingdom,GBR
United Kingdom,2014,81.1,44200,United Kingdom,GBR
United Kingdom,2015,81,44900,United Kingdom,GBR
United Kingdom,2016,81.1,45400,United Kingdom,GBR
United Kingdom,2017,81.2,46000,United Kingdom,GBR
United Kingdom,2018,81,46300,United Kingdom,GBR
United Kingdom,2019,81.1,46700,United Kingdom,GBR
United Kingdom,2020,79.4,41900,United Kingdom,GBR
United Kingdom,2021,81.3,43900,United Kingdom,GBR
Italy,1949,64.2,5970,Italy,ITA
Italy,1950,65.9,6420,Italy,ITA
Italy,1951,65.7,6850,Italy,ITA
Italy,1952,66.2,7330,Italy,ITA
Italy,1953,67.1,7810,Italy,ITA
Italy,1954,68.1,8160,Italy,ITA
Italy,1955,68.4,8570,Italy,ITA
Italy,1956,68.3,8910,Italy,ITA
Italy,1957,68.4,9380,Italy,ITA
Italy,1958,69.2,9830,Italy,ITA
Italy,1959,69.7,10400,Italy,ITA
Italy,1960,69.9,10800,Italy,ITA
Italy,1961,70.2,11800,Italy,ITA
Italy,1962,69.9,12700,Italy,ITA
Italy,1963,70,13600,Italy,ITA
Italy,1964,70.7,14100,Italy,ITA
Italy,1965,70.9,14500,Italy,ITA
Italy,1966,71.3,15200,Italy,ITA
Italy,1967,71.3,16300,Italy,ITA
Italy,1968,71.2,17700,Italy,ITA
Italy,1969,71.3,18700,Italy,ITA
Italy,1970,71.8,19200,Italy,ITA
Italy,1971,72.1,19500,Italy,ITA
Italy,1972,72.3,20100,Italy,ITA
